angle england:389
fonda perez:90
troy hodges:89
voncile talley:88
raven woods:87
faye johnston:86
nakia lyon:85
marge jimenez:85
kristian butts:85
tesha elkins:84
golden joyner:84
cynthia hess:84
sharice diaz:83
nelly tanner:80
kiyoko cowan:80
romelia wolf:79
maxima hansen:77
loretta slater:77
lila dalton:77
roslyn wilson:76
nohemi larsen:76
luana reid:76
letitia tran:76
lacey gay:76
glennie sanchez:76
tameka gary:75
tamara knox:75
phyllis blanton:75
rosalia petty:74
laronda chambers:74
maybell wilkins:73
jo faulkner:73
cherelle puckett:73
raguel bowman:72
lorine dotson:71
ingeborg sykes:71
jen carroll:70
merrilee vazquez:69
jolene hatfield:69
gilda hull:68
ardath rodriguez:68
ora mathis:67
jolanda madden:66
tien mcallister:64
shavonne ortiz:63
magnolia oliver:63
lasonya blackburn:63
janay meeks:63
heather cuevas:63
kathie conrad:62
theda durham:61
sherell contreras:61
dean fritz:61
vasiliki stephens:60
ethyl robbins:60
shirlene black:59
janis sullivan:59
yasmin bingham:58
stephenie griggs:58
minda glover:58
kandace delaney:57
ricki shirley:53
kelsie nichols:53
jamee sinclair:53
doretta nicholson:53
travis collier:52
robbyn ingram:52
kandis reeves:52
joycelyn roman:52
jalisa gill:52
eugena farmer:52
cammie whaley:52
gloria goins:51
zulma robles:50
wynell ryan:49
savanna harris:49
katelynn tyler:49
hallie blanchard:49
shelba ross:48
shaun rivas:48
sana sargent:48
criselda hartley:48
renita best:47
grisel buckner:47
daria thornton:47
maryrose dejesus:45
marivel patton:45
lina lyons:44
lavette ball:44
jeneva cortez:44
milissa mcginnis:43
jessica goff:43
pandora crum:42
mandie chan:40
laverna key:40
lanelle jackson:40
hildred burton:40
gaynell hoffman:40
daryl gibson:40
leonie norman:39
karie york:39
tanya steward:38
lucile sanders:38
dale garrett:38
myrle farris:37
marci haley:37
jennine emery:36
taylor bell:35
delora shafer:35
gabriella quinn:34
colby childers:34
thomas herman:31
nicki lindsay:31
judie martin:31
sue gallagher:30
renae jacobs:30
lauralee salinas:29
wanita mills:28
jeannetta andersen:28
dorcas olsen:28
alejandrina holland:28
rona conley:27
halley day:26
carmen velazquez:25
stefani kaufman:24
louella hopper:24
lean fowler:24
julene law:24
irene bright:24
drusilla hutchinson:23
camellia holden:23
roseanna harvey:21
manie hendrickson:21
amalia salas:21
ione lynn:20
raylene robertson:19
gertude pierson:19
stephanie walls:18
lashandra thompson:17
thora dean:16
lashon berger:16
charisse bates:16
beverly deleon:16
telma massey:15
ashley french:15
richelle blevins:14
gladys murphy:14
theola shields:13
alia dunbar:13
maybelle bender:12
cherlyn farley:12
onita simmons:11
tasia howard:10
simona barton:10
shelby gonzales:10
celine mooney:10
windy sutton:9
le bacon:9
alexia mitchell:9
roseann powers:8
gabriele henson:8
damaris dunlap:8
berry briggs:8
leighann chamberlain:6
hertha webster:6
charline schwartz:6
tiffanie pagan:5
shiloh lam:5
cristine strong:3
anh childs:3
ula sampson:2
pearl wynn:2
gudrun flanagan:2
elfrieda daniels:2
viva robinson:1
calandra todd:1
