ludivina phelps:101
eilene austin:147
pia montes:173
denice knight:186
pam kinney:306
regina crow:228
mandi lehman:91
sana sargent:48
emily archer:275
shavonne ortiz:63
jamee sinclair:53
saundra gardner:116
jeanelle clemons:154
cynthia hess:84
curtis flowers:191
shaun rivas:48
anisha anderson:96
casey minor:296
ardella ewing:193
selma pryor:164
audrea higgins:170
margit woodruff:255
idalia hilton:381
inell simon:312
cammie whaley:52
loretta slater:77
raeann griffith:269
sharee newell:121
lilly hudson:312
reena simms:183
lashon berger:16
janay meeks:63
pennie hoover:345
lacie rollins:181
darcel stuart:180
elfrieda daniels:2
karlene goldstein:136
suk neal:136
blair crosby:199
wynell ryan:49
arlyne workman:235
katelyn estes:250

